ROI 	, 	R0 (Origin in up-left) 	,	R (Origin in centre) 	, 	Ratio 	,	Centroid Coordinates

ROI_8_157       , 	120.413		, 	 344.66		, 	1.48632	,	[104.562, 59.7179]
ROI_8_163       , 	241.246		, 	285.801		, 	2.15971	,	[239.186, 31.459]
ROI_8_167       , 	529.186		, 	322.665		, 	1.88621	,	[528.987, 14.5128]
ROI_8_169       , 	228.366		, 	309.534		, 	2.76385	,	[228.127, 10.4353]

ROI_9_0         , 	707.346		, 	281.763		, 	1.20201	,	[427, 563.924]
ROI_9_1         , 	569.601		, 	382.745		, 	9.08145	,	[91.8688, 562.144]
ROI_9_8         , 	563.215		, 	309.559		, 	3.53587	,	[173.05, 535.971]
ROI_9_14        , 	846.101		, 	383.388		, 	1.44263	,	[673.117, 512.642]
ROI_9_19        , 	751.543		, 	289.838		, 	1.25359	,	[562.953, 497.897]
ROI_9_20        , 	767.969		, 	305.275		, 	1.46189	,	[586.53, 495.741]
ROI_9_39        , 	712.137		, 	250.465		, 	1.62643	,	[575.014, 420.117]
ROI_9_85        , 	776.495		, 	 350.29		, 	1.10924	,	[710.519, 313.22]
ROI_9_90        , 	638.961		, 	203.463		, 	1.4544	,	[564.223, 299.873]
ROI_9_108       , 	733.653		, 	339.641		, 	1.55431	,	[695.772, 232.697]
ROI_9_137       , 	703.113		, 	351.472		, 	1.25421	,	[685.708, 155.474]
ROI_9_147       , 	167.953		, 	295.826		, 	1.26135	,	[122.79, 114.589]
ROI_9_148       , 	583.123		, 	281.419		, 	1.1915	,	[573.5, 105.5]
ROI_9_151       , 	654.364		, 	356.819		, 	2.11507	,	[649.459, 79.9727]
ROI_9_152       , 	202.024		, 	273.671		, 	1.57994	,	[185.508, 80.0033]
ROI_9_155       , 	94.1089		, 	373.515		, 	2.02687	,	[54.2308, 76.9124]
ROI_9_164       , 	246.204		, 	 275.93		, 	1.43881	,	[242.824, 40.657]
ROI_9_168       , 	533.052		, 	317.326		, 	2.38365	,	[532.553, 23.0447]
ROI_9_169       , 	232.439		, 	 299.44		, 	2.43635	,	[231.579, 19.9727]

ROI_10_1        , 	606.132		, 	317.931		, 	1.26008	,	[208.69, 569.073]
ROI_10_3        , 	 780.01		, 	325.336		, 	1.4989	,	[544.038, 558.962]
ROI_10_6        , 	573.079		, 	314.495		, 	4.03182	,	[177.009, 545.058]
ROI_10_13       , 	855.572		, 	392.747		, 	1.28274	,	[678.303, 521.449]
ROI_10_17       , 	759.708		, 	298.272		, 	1.45296	,	[566.566, 506.122]
ROI_10_18       , 	776.781		, 	314.251		, 	2.44892	,	[590.554, 504.613]
ROI_10_36       , 	 720.78		, 	258.736		, 	1.55811	,	[579.346, 428.815]
ROI_10_83       , 	783.733		, 	 354.93		, 	1.48661	,	[714.473, 322.129]
ROI_10_91       , 	646.564		, 	208.121		, 	1.28157	,	[568.313, 308.328]
ROI_10_152      , 	177.415		, 	287.041		, 	1.39284	,	[126.676, 124.215]
ROI_10_158      , 	209.463		, 	263.975		, 	1.10766	,	[189.436, 89.3794]
ROI_10_159      , 	658.826		, 	354.471		, 	1.40183	,	[652.818, 88.7731]
ROI_10_162      , 	103.654		, 	365.463		, 	1.72632	,	[57.697, 86.1119]
ROI_10_163      , 	136.619		, 	326.857		, 	1.34963	,	[111.91, 78.3645]
ROI_10_170      , 	251.193		, 	266.206		, 	1.37583	,	[246.204, 49.8175]
ROI_10_174      , 	536.894		, 	311.376		, 	1.75653	,	[535.916, 32.3966]
ROI_10_175      , 	236.879		, 	289.624		, 	1.33132	,	[235.074, 29.1847]
ROI_10_180      , 	662.968		, 	408.494		, 	1.49512	,	[662.804, 14.7156]

ROI_11_1        , 	 788.84		, 	334.571		, 	1.84032	,	[547.955, 567.463]
ROI_11_4        , 	583.303		, 	319.976		, 	3.73658	,	[180.964, 554.521]
ROI_11_14       , 	768.149		, 	    307		, 	1.60462	,	[570.323, 514.572]
ROI_11_15       , 	785.708		, 	323.371		, 	1.66872	,	[594.572, 513.636]
ROI_11_27       , 	728.947		, 	266.574		, 	1.53484	,	[582.969, 437.62]
ROI_11_33       , 	726.282		, 	266.652		, 	1.40529	,	[598.078, 412.054]
ROI_11_62       , 	790.391		, 	359.311		, 	1.85399	,	[718.037, 330.365]
ROI_11_69       , 	653.814		, 	  212.3		, 	1.10433	,	[571.5, 317.585]
ROI_11_70       , 	555.293		, 	101.195		, 	1.63367	,	[459.974, 311.084]
ROI_11_116      , 	713.743		, 	351.751		, 	1.12492	,	[692.568, 172.563]
ROI_11_127      , 	186.017		, 	279.325		, 	1.23695	,	[129.821, 133.224]
ROI_11_133      , 	216.617		, 	254.488		, 	1.18196	,	[192.543, 99.2472]
ROI_11_137      , 	145.146		, 	317.984		, 	1.45591	,	[115.516, 87.8825]
ROI_11_140      , 	696.734		, 	400.728		, 	1.54811	,	[693.561, 66.4242]
ROI_11_145      , 	 191.76		, 	298.268		, 	1.62779	,	[185.425, 48.8833]
ROI_11_149      , 	241.314		, 	279.997		, 	2.07366	,	[238.248, 38.3452]
ROI_11_154      , 	665.973		, 	404.747		, 	4.25212	,	[665.561, 23.4242]

ROI_12_2        , 	588.531		, 	319.235		, 	1.2582	,	[187.391, 557.901]
ROI_12_5        , 	556.642		, 	388.019		, 	inf	,	[74.4628, 551.639]
ROI_12_7        , 	855.327		, 	392.393		, 	1.46905	,	[658.403, 545.977]
ROI_12_11       , 	554.404		, 	315.931		, 	4.01913	,	[157.412, 531.588]
ROI_12_15       , 	775.341		, 	314.562		, 	1.48516	,	[572.655, 522.705]
ROI_12_16       , 	757.615		, 	  298.7		, 	1.41544	,	[548.903, 522.194]
ROI_12_32       , 	721.473		, 	258.474		, 	1.50789	,	[566.693, 446.522]
ROI_12_75       , 	791.077		, 	353.596		, 	1.66597	,	[709.484, 349.907]
ROI_12_84       , 	651.185		, 	206.035		, 	1.05382	,	[563.935, 325.605]
ROI_12_90       , 	549.864		, 	94.7765		, 	2.27125	,	[453.399, 311.095]
ROI_12_102      , 	750.895		, 	 340.81		, 	1.67795	,	[701.148, 268.766]
ROI_12_134      , 	721.193		, 	348.988		, 	1.11516	,	[695.542, 190.631]
ROI_12_157      , 	 673.86		, 	351.134		, 	1.14869	,	[664.305, 113.077]
ROI_12_158      , 	174.421		, 	288.648		, 	1.2781	,	[137.014, 107.934]
ROI_12_163      , 	216.312		, 	265.362		, 	1.09425	,	[201.907, 77.6174]
ROI_12_165      , 	218.838		, 	267.726		, 	1.10896	,	[207, 71]
ROI_12_173      , 	554.003		, 	308.687		, 	2.64086	,	[551.965, 47.4719]
ROI_12_177      , 	265.608		, 	265.786		, 	2.26103	,	[262.051, 43.3191]
ROI_12_178      , 	681.043		, 	405.138		, 	2.11075	,	[679.863, 40.0735]
