ROI 	, 	R0 (Origin in up-left) 	,	R (Origin in centre) 	, 	Ratio 	,	Centroid Coordinates

ROI_7_28        , 	456.837		, 	285.804		, 	2.43173	,	[118.472, 441.208]
ROI_7_33        , 	494.011		, 	190.612		, 	1.4959	,	[236.065, 433.958]
ROI_7_35        , 	565.212		, 	139.176		, 	4.50541	,	[368, 429]
ROI_7_36        , 	568.114		, 	135.945		, 	2.60345	,	[377, 425]
ROI_7_42        , 	421.157		, 	345.575		, 	1.69645	,	[40.4878, 419.207]
ROI_7_49        , 	412.688		, 	259.912		, 	1.74174	,	[122.799, 393.994]
ROI_7_58        , 	730.372		, 	277.983		, 	1.71964	,	[624.362, 378.964]
ROI_7_63        , 	627.573		, 	 167.99		, 	1.82354	,	[513.05, 361.425]
ROI_7_94        , 	599.189		, 	166.461		, 	1.07263	,	[527.369, 284.447]
ROI_7_120       , 	511.483		, 	105.926		, 	2.96499	,	[453, 237.5]
ROI_7_135       , 	474.111		, 	 92.635		, 	1.77937	,	[420.5, 219]
ROI_7_157       , 	689.041		, 	323.407		, 	1.83486	,	[665.119, 179.983]
ROI_7_180       , 	724.472		, 	392.557		, 	1.24453	,	[714.561, 119.424]
ROI_7_186       , 	658.862		, 	347.835		, 	1.25924	,	[651.442, 98.603]
ROI_7_187       , 	521.143		, 	245.458		, 	1.86241	,	[512.117, 96.575]
ROI_7_197       , 	215.701		, 	268.488		, 	1.8667	,	[203, 72.9238]
ROI_7_208       , 	534.016		, 	 316.63		, 	2.76171	,	[533.456, 24.4558]
ROI_7_209       , 	643.148		, 	389.891		, 	1.64217	,	[642.819, 20.5686]
ROI_7_210       , 	242.334		, 	295.662		, 	7.94907	,	[241.544, 19.5442]
ROI_7_212       , 	559.589		, 	343.223		, 	2.66796	,	[559.5, 10]

ROI_8_3         , 	764.426		, 	306.295		, 	3.71776	,	[549.456, 531.456]
ROI_8_35        , 	443.391		, 	287.207		, 	1.03613	,	[109.968, 429.538]
ROI_8_36        , 	562.837		, 	135.237		, 	2.27217	,	[369, 425]
ROI_8_37        , 	484.177		, 	191.112		, 	1.7139	,	[227.93, 427.172]
ROI_8_42        , 	434.278		, 	247.399		, 	1.71232	,	[144.411, 409.564]
ROI_8_45        , 	405.005		, 	 347.12		, 	1.43652	,	[33.0153, 403.658]
ROI_8_47        , 	402.779		, 	314.916		, 	8.1656	,	[65, 397.5]
ROI_8_50        , 	429.165		, 	214.751		, 	2.11046	,	[172.537, 392.955]
ROI_8_57        , 	399.892		, 	261.355		, 	2.31519	,	[116.571, 382.525]
ROI_8_103       , 	600.118		, 	163.573		, 	1.29954	,	[524.566, 291.5]
ROI_8_141       , 	 256.49		, 	263.265		, 	1.1247	,	[103.625, 234.625]
ROI_8_168       , 	694.224		, 	320.613		, 	2.53592	,	[666.728, 193.443]
ROI_8_176       , 	548.526		, 	200.107		, 	1.4833	,	[521.401, 170.357]
ROI_8_186       , 	730.441		, 	381.215		, 	1.35184	,	[715.116, 148.838]
ROI_8_201       , 	666.429		, 	345.325		, 	2.80251	,	[656.942, 112.047]
ROI_8_204       , 	528.368		, 	243.803		, 	1.8799	,	[518.117, 103.575]
ROI_8_211       , 	354.109		, 	  202.8		, 	1.44947	,	[343, 88]
ROI_8_212       , 	316.087		, 	210.738		, 	2.47942	,	[303.831, 87.1647]
ROI_8_221       , 	 219.72		, 	270.988		, 	1.68334	,	[209.863, 65.0735]
ROI_8_228       , 	653.051		, 	388.101		, 	2.20045	,	[652.195, 33.4295]

ROI_9_0         , 	566.251		, 	418.954		, 	1.68411	,	[44.5, 564.5]
ROI_9_5         , 	680.109		, 	246.304		, 	3.8663	,	[430.919, 526.172]
ROI_9_40        , 	473.688		, 	191.445		, 	1.65567	,	[220, 419.5]
ROI_9_41        , 	428.282		, 	287.772		, 	2.93984	,	[102.231, 415.902]
ROI_9_50        , 	730.608		, 	273.474		, 	1.74776	,	[611.365, 400.025]
ROI_9_60        , 	387.738		, 	348.531		, 	1.32798	,	[26.1963, 386.852]
ROI_9_66        , 	644.488		, 	184.096		, 	1.19373	,	[524.675, 374.273]
ROI_9_69        , 	385.251		, 	262.861		, 	1.36615	,	[110.327, 369.115]
ROI_9_101       , 	601.351		, 	161.638		, 	2.1227	,	[522.451, 297.771]
ROI_9_134       , 	367.414		, 	98.8433		, 	6.68104	,	[272, 247]
ROI_9_158       , 	699.835		, 	318.919		, 	1.92613	,	[668.739, 206.296]
ROI_9_176       , 	553.172		, 	198.942		, 	1.26546	,	[524.301, 176.375]
ROI_9_181       , 	737.101		, 	379.399		, 	1.19077	,	[718.719, 163.587]
ROI_9_187       , 	739.146		, 	389.063		, 	1.20693	,	[723.848, 149.603]
ROI_9_200       , 	673.537		, 	 343.78		, 	1.41282	,	[662.03, 123.97]
ROI_9_214       , 	321.372		, 	213.007		, 	2.2803	,	[310.447, 83.0789]
ROI_9_224       , 	661.412		, 	386.033		, 	1.82724	,	[659.836, 45.6271]
ROI_9_226       , 	552.301		, 	315.145		, 	1.53825	,	[550.955, 38.5367]
ROI_9_229       , 	579.563		, 	341.932		, 	4.93843	,	[578.955, 26.5367]

